id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_300,0,4,e_0,8,9,22,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,13,14
p_299,0,5,e_1,9,10,25,0,0,0,0,3,0,0,8,2,2,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,15,16
p_297,0,6,e_2,15,16,33,0,0,0,0,3,0,0,17,2,2,1,5,2,0,9,1,1,1,5,1,0,0,0,0,0,3,0,0,1,17,18
p_298,0,9,e_0,11,12,36,0,0,0,0,3,0,0,8,1,1,0,2,1,0,10,2,2,0,2,1,1,0,0,0,0,3,0,0,1,24,25
p_296,0,4,e_3,28,29,44,0,0,0,0,3,0,0,12,1,1,6,5,1,0,5,0,0,5,3,0,0,8,1,1,4,5,1,0,1,15,16
p_295,0,5,e_3,29,31,50,8,2,2,5,3,0,0,12,1,1,6,5,1,0,7,1,1,5,5,1,0,8,2,2,0,5,1,1,2,19,21
p_286,0,3,e_1,46,49,59,20,2,2,5,4,0,1,9,0,0,9,3,0,0,22,4,4,0,2,3,1,20,2,2,4,5,2,0,3,10,13
p_289,0,4,e_1,43,46,65,20,3,3,6,3,0,0,9,0,0,9,3,0,0,12,2,2,0,2,1,1,20,3,3,4,2,3,0,3,19,22
p_294,0,12,e_3,31,32,68,10,3,3,5,4,0,1,11,1,1,7,5,1,0,6,1,1,6,5,1,0,10,3,3,0,2,2,1,1,36,37
p_293,0,12,e_3,33,34,69,24,3,3,4,4,0,1,10,1,1,8,5,1,0,6,1,1,6,2,0,1,24,3,3,0,2,3,0,1,35,36
p_287,0,5,e_1,45,48,71,20,2,2,6,4,0,1,9,0,0,9,3,0,0,22,3,3,0,2,2,1,20,2,2,4,2,2,0,3,23,26
p_285,0,4,e_2,53,58,73,19,1,1,2,4,0,1,9,0,0,9,3,0,0,21,6,6,1,5,6,0,19,1,1,5,5,1,0,5,15,20
p_284,0,4,e_2,54,60,74,18,1,1,1,4,0,1,9,0,0,9,3,0,0,21,6,6,1,5,6,0,18,1,1,6,5,1,0,6,14,20
p_292,0,6,e_1,38,42,77,22,3,3,1,4,0,1,9,0,0,9,3,0,0,6,0,0,6,3,0,0,22,3,3,2,5,3,0,4,35,39
p_290,0,6,e_1,40,45,78,21,3,3,0,4,0,1,9,0,0,9,3,0,0,6,0,0,6,3,0,0,21,3,3,3,5,3,0,5,33,38
p_288,0,8,e_1,44,47,86,20,3,3,6,4,0,1,9,0,0,9,3,0,0,22,3,3,0,2,2,1,20,3,3,4,2,2,1,3,39,42
p_283,0,9,e_2,57,61,88,17,1,1,0,3,0,1,9,0,0,9,3,0,0,19,6,6,3,5,6,0,17,1,1,7,5,1,0,4,27,31
p_291,0,11,e_1,39,44,96,22,3,3,1,4,0,1,9,0,0,9,3,0,0,6,0,0,6,3,0,0,22,3,3,2,5,3,0,5,52,57
p_281,0,1,e_0,73,89,102,12,0,0,6,4,0,1,17,3,3,5,5,3,0,14,2,2,4,2,2,0,12,0,0,12,3,0,0,16,13,29
p_278,0,2,e_0,77,92,108,12,0,0,4,4,0,1,16,3,3,6,2,3,0,14,1,1,4,5,1,0,12,0,0,12,3,0,0,15,16,31
p_279,0,5,e_0,76,91,118,12,0,0,5,4,0,1,16,3,3,6,2,3,0,14,1,1,4,5,1,0,12,0,0,12,3,0,0,15,27,42
p_277,0,6,e_0,82,93,124,12,0,0,2,4,0,1,15,2,2,7,5,2,0,11,1,1,7,5,1,0,12,0,0,12,3,0,0,11,31,42
p_273,0,4,e_2,110,112,126,12,0,0,0,5,0,0,26,6,6,2,5,6,0,11,0,0,11,3,0,0,12,0,0,12,3,0,0,2,14,16
p_282,0,7,e_0,66,87,130,12,1,1,9,3,0,0,18,4,4,4,2,4,0,17,2,2,1,5,2,0,12,1,1,12,5,1,0,21,43,64
p_274,0,8,e_0,88,96,136,12,0,0,9,2,0,1,14,2,2,0,2,1,1,14,1,1,8,5,1,0,12,0,0,12,3,0,0,8,40,48
p_272,0,10,e_2,113,114,142,12,0,0,0,2,1,0,25,6,6,3,5,6,0,11,0,0,11,3,0,0,12,0,0,12,3,0,0,1,28,29
p_276,0,11,e_0,84,94,146,12,0,0,1,4,0,1,14,2,2,8,5,2,0,10,1,1,8,5,1,0,12,0,0,12,3,0,0,10,52,62
p_280,0,14,e_0,75,90,156,12,0,0,5,4,0,1,16,3,3,6,5,3,0,14,1,1,4,2,1,0,12,0,0,12,3,0,0,15,66,81
p_275,0,14,e_0,86,95,157,12,0,0,0,3,0,1,14,2,2,8,2,1,1,9,1,1,9,5,1,0,12,0,0,12,3,0,0,9,62,71
p_271,0,1,e_1,121,146,161,12,0,0,11,3,0,0,23,5,5,5,5,5,0,18,2,2,2,5,2,0,12,0,0,12,3,0,0,25,15,40
p_267,0,1,e_1,148,151,162,12,0,0,10,3,0,0,17,1,1,11,5,1,0,18,3,3,0,2,2,1,12,0,0,12,3,0,0,3,11,14
p_268,0,2,e_1,144,150,168,12,0,0,0,4,0,1,17,2,2,11,5,2,0,10,0,0,10,3,0,0,12,0,0,12,3,0,0,6,18,24
p_265,0,4,e_1,152,153,176,12,0,0,9,4,0,1,15,1,1,13,5,1,0,18,5,5,0,2,4,1,12,0,0,12,3,0,0,1,23,24
p_266,0,6,e_1,151,152,184,12,0,0,9,4,0,1,16,1,1,12,5,1,0,18,4,4,0,2,3,1,12,0,0,12,3,0,0,1,32,33
p_263,0,7,e_1,154,155,190,12,0,0,8,4,0,1,14,1,1,14,5,1,0,22,7,7,0,2,6,1,12,0,0,12,3,0,0,1,35,36
p_262,0,5,e_2,157,171,191,12,0,0,6,4,0,1,14,1,1,14,2,0,1,22,7,7,0,5,7,0,12,0,0,12,3,0,0,14,20,34
p_261,0,5,e_2,164,173,192,12,0,0,3,4,0,1,14,0,0,14,3,0,0,21,6,6,1,5,6,0,12,0,0,12,3,0,0,9,19,28
p_270,0,9,e_1,122,148,198,12,0,0,11,4,0,1,22,5,5,6,5,5,0,17,2,2,3,5,2,0,12,0,0,12,3,0,0,26,50,76
p_269,0,9,e_1,127,149,199,12,0,0,9,4,0,1,22,4,4,6,5,4,0,16,1,1,4,2,1,0,12,0,0,12,3,0,0,22,50,72
p_260,0,7,e_2,165,174,200,12,0,0,2,4,0,1,14,0,0,14,3,0,0,21,6,6,1,5,6,0,12,0,0,12,3,0,0,9,26,35
p_258,0,7,e_2,168,176,201,12,0,0,1,4,0,1,14,0,0,14,3,0,0,20,6,6,2,2,5,1,12,0,0,12,3,0,0,8,25,33
p_264,0,11,e_1,153,154,207,12,0,0,8,4,0,1,15,1,1,13,5,1,0,18,6,6,0,2,5,1,12,0,0,12,3,0,0,1,53,54
p_257,0,14,e_2,169,177,219,12,0,0,0,4,0,1,14,0,0,14,3,0,0,20,5,5,2,2,5,0,12,0,0,12,3,0,0,8,42,50
p_259,0,15,e_2,167,175,225,12,0,0,1,4,0,1,14,0,0,14,3,0,0,20,6,6,2,2,6,0,12,0,0,12,3,0,0,8,50,58
p_255,0,3,e_3,184,211,225,12,1,0,12,4,0,1,14,0,0,14,3,0,0,16,4,4,6,2,3,1,28,4,4,2,5,4,0,27,14,41
p_254,0,4,e_3,187,212,231,10,1,0,10,4,0,1,14,0,0,14,3,0,0,16,3,3,6,5,3,0,26,4,4,4,5,4,0,25,19,44
p_253,0,5,e_3,190,213,237,9,1,0,9,4,0,1,14,0,0,14,3,0,0,15,3,3,7,2,2,1,25,4,4,5,2,4,0,23,24,47
p_252,0,5,e_3,205,214,238,1,1,0,1,4,0,1,14,0,0,14,3,0,0,11,1,1,11,5,1,0,22,2,2,8,5,2,0,9,24,33
p_250,0,2,e_1,217,234,243,30,5,5,8,4,0,1,14,0,0,14,3,0,0,16,2,2,14,5,2,0,30,5,5,0,5,5,0,17,9,26
p_256,0,10,e_3,182,209,252,12,0,0,12,3,0,0,14,0,0,14,3,0,0,16,4,4,6,5,4,0,29,4,4,1,5,4,0,27,43,70
p_251,0,15,e_3,209,215,266,20,2,2,11,3,0,0,14,0,0,14,3,0,0,20,2,2,10,5,2,0,20,2,2,0,5,1,1,6,51,57
p_248,0,5,e_1,246,253,268,22,2,2,2,4,0,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,22,2,2,8,5,2,0,7,15,22
p_247,0,5,e_1,250,254,269,20,2,2,0,3,0,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,20,2,2,10,5,2,0,4,15,19
p_249,0,6,e_1,239,251,275,25,2,2,1,5,1,0,14,0,0,14,3,0,0,15,0,0,15,3,0,0,25,2,2,5,2,2,0,12,24,36
p_241,0,1,e_1,283,297,303,15,0,0,3,4,0,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,14,6,20
p_245,0,7,e_1,269,293,319,15,0,0,5,2,1,2,14,0,0,14,3,0,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,24,26,50
p_242,0,8,e_1,277,296,325,15,0,0,6,4,0,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,19,29,48
p_246,0,10,e_1,262,291,333,16,1,1,3,5,2,0,14,0,0,14,3,0,0,15,0,0,15,3,0,0,16,1,1,14,5,1,0,29,42,71
p_244,0,12,e_1,271,294,341,15,0,0,5,5,1,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,23,47,70
p_243,0,15,e_1,272,295,351,15,0,0,5,5,1,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,23,56,79
p_236,0,1,e_0,305,337,353,15,0,0,13,4,0,1,29,5,5,1,5,5,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,32,16,48
p_233,0,1,e_0,311,340,354,15,0,0,10,4,0,1,26,5,5,4,5,5,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,29,14,43
p_226,0,2,e_0,329,347,360,15,0,0,1,4,0,1,21,3,3,9,5,3,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,18,13,31
p_230,0,3,e_0,319,343,366,15,0,0,6,4,0,1,23,5,5,7,2,4,1,15,0,0,15,3,0,0,15,0,0,15,3,0,0,24,23,47
p_228,0,4,e_0,325,345,372,15,0,0,3,4,0,1,22,4,4,8,2,3,1,15,0,0,15,3,0,0,15,0,0,15,3,0,0,20,27,47
p_232,0,5,e_0,314,341,378,15,0,0,8,4,0,1,25,5,5,5,5,5,0,15,0,0,15,3,0,0,15,0,0,15,3,0,0,27,37,64
